address,scam_type,total_received_btc,total_sent_btc,balance_btc,transaction_count,first_seen,last_seen,is_scam,dataset_source
ponzi_000000,Ponzi,3.252160877331268,10.85222772476191,0.1263914854395462,2174,2018-06-17,2019-12-02,1,cryptoscam_synthetic
ponzi_000001,Ponzi,2.793090550364527,16.333073243347233,0.3736349315611027,3620,2018-03-10,2019-01-13,1,cryptoscam_synthetic
ponzi_000002,Ponzi,3.5377610234814663,0.39070188049676824,0.46731668942930704,740,2018-09-22,2019-12-23,1,cryptoscam_synthetic
ponzi_000003,Ponzi,11.309639860720118,10.943075328491602,0.723529912243743,825,2018-07-19,2019-02-18,1,cryptoscam_synthetic
ponzi_000004,Ponzi,0.7057321050680035,1.554636373981405,1.6388060251634693,3432,2018-10-16,2019-07-09,1,cryptoscam_synthetic
ponzi_000005,Ponzi,9.534206118528786,12.917464097180744,1.4543110918831383,2630,2018-06-26,2019-06-25,1,cryptoscam_synthetic
ponzi_000006,Ponzi,13.980495422034297,18.35357040552819,1.5017887081413115,1320,2018-04-03,2019-08-11,1,cryptoscam_synthetic
ponzi_000007,Ponzi,8.234485482635188,25.01176145949836,0.3162490956640874,1480,2018-12-10,2019-02-26,1,cryptoscam_synthetic
ponzi_000008,Ponzi,15.71869373654614,5.80278989363616,0.48727622434012785,3531,2018-07-23,2019-04-10,1,cryptoscam_synthetic
ponzi_000009,Ponzi,38.89189922269112,36.564845726018184,3.9573359073383347,4410,2018-01-10,2019-06-11,1,cryptoscam_synthetic
ponzi_000010,Ponzi,1.141729140200811,7.439500649246744,0.23834901682756596,4094,2018-02-09,2019-05-27,1,cryptoscam_synthetic
ponzi_000011,Ponzi,2.184554998470399,1.957982574716512,0.8458435415036072,2702,2018-12-06,2019-09-28,1,cryptoscam_synthetic
ponzi_000012,Ponzi,9.340458460756821,10.0099904638203,0.05531473315545581,2659,2018-08-05,2019-12-17,1,cryptoscam_synthetic
ponzi_000013,Ponzi,7.065761071314977,2.4436627625227194,0.5163557721603024,4795,2018-09-28,2019-10-10,1,cryptoscam_synthetic
ponzi_000014,Ponzi,39.9827273617959,6.743137759314074,0.48079380227840773,4861,2018-06-28,2019-06-08,1,cryptoscam_synthetic
ponzi_000015,Ponzi,3.998729268592774,49.823444480173976,0.551568979305612,3149,2018-10-17,2019-11-27,1,cryptoscam_synthetic
ponzi_000016,Ponzi,9.47464442399523,5.585057954179115,4.13084502408378,2690,2018-09-07,2019-07-25,1,cryptoscam_synthetic
ponzi_000017,Ponzi,5.29747663907731,5.9723852759952285,1.701033109183651,613,2018-04-16,2019-02-07,1,cryptoscam_synthetic
ponzi_000018,Ponzi,28.630883874493627,16.257228255031222,0.6943452227651564,4914,2018-06-24,2019-08-21,1,cryptoscam_synthetic
ponzi_000019,Ponzi,2.19314882049483,19.187194308690223,0.42525817812630756,1263,2018-08-27,2019-04-19,1,cryptoscam_synthetic
